img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_go-vacation_970AmericaFront.jpg,Go Vacation,Wii,Misc,Namco Bandai,Namco Bandai Games,7,1.54,0.42,0.33,0.66,0.13,11/10/11,
/games/boxart/full_2010435AmericaFrontccc.jpg,MVP Baseball 2005,PS2,Sports,EA Sports,EA Canada,,1.54,1.26,,0.07,0.21,22/02/05,
/games/boxart/3244473ccc.jpg,Mortal Kombat 3,SNES,Fighting,Williams Entertainment,Sculptured Software,,1.53,1.19,,0.29,0.05,01/10/95,
/games/boxart/full_6250255AmericaFrontccc.jpg,Tiger Woods 99 PGA Tour Golf,PS,Sports,EA Sports,EA Sports,,1.53,0.85,,0.58,0.1,31/10/98,
/games/boxart/full_9012782AmericaFrontccc.jpg,Disney Infinity,X360,Misc,Disney Interactive Studios,Unknown,,1.53,1.04,,0.35,0.15,18/08/13,
/games/boxart/699250ccc.jpg,NFL GameDay 99,PS,Sports,989 Studios,Red Line Studios,,1.53,1.44,,0.05,0.04,31/07/98,
/games/boxart/full_4178291PALFrontccc.jpg,Pro Evolution Soccer 2013,PS3,Sports,Konami Digital Entertainment,Konami,,1.52,0.18,0.49,0.65,0.2,25/09/12,12/01/18
/games/boxart/full_5049583AmericaFrontccc.jpg,MySims Kingdom,Wii,Simulation,Electronic Arts,EA Redwood Shores,,1.52,0.7,0.01,0.64,0.16,28/10/08,
/games/boxart/9470479ccc.jpg,Super Monkey Ball 2,GC,Puzzle,Sega,Amusement Vision,,1.52,1.11,0.06,0.31,0.04,25/08/02,
/games/boxart/full_9530951AmericaFrontccc.jpg,Knockout Kings,PS,Fighting,EA Sports,Press Start Inc.,,1.52,1.07,,0.39,0.06,31/10/98,
/games/boxart/full_fight-night-round-4_5AmericaFront.jpg,Fight Night Round 4,PS3,Fighting,EA Sports,EA Canada,8.6,1.52,0.92,,0.4,0.2,23/06/09,
/games/boxart/4301673ccc.gif,Sonic Rivals 2,PSP,Racing,Sega,Backbone Entertainment,6.4,1.52,0.44,,0.7,0.37,13/11/07,
/games/boxart/5138994ccc.jpg,NASCAR 98,PS,Racing,EA Sports,Stormfront Studios,,1.52,1.43,,0.05,0.04,01/01/97,
/games/boxart/full_9390152AmericaFrontccc.jpg,Forza Motorsport 7,XOne,Racing,Microsoft Studios,Turn 10 Studios,8.9,1.52,0.58,0.01,0.81,0.12,03/10/17,12/01/18
/games/boxart/5263611ccc.jpg,NASCAR 99,PS,Racing,EA Sports,Stormfront Studios,,1.52,1.45,,0.04,0.04,30/09/98,
/games/boxart/9669562ccc.jpg,Disney Fairies: Tinker Bell,DS,Adventure,Disney Interactive Studios,Hyde,,1.52,0.85,0.01,0.51,0.15,28/10/08,
/games/boxart/full_1086716AmericaFrontccc.jpg,Xevious,NES,Shooter,Namco,Namco,,1.52,0.18,1.27,0.06,0.01,01/01/90,
/games/boxart/full_dead-space-2_77AmericaFront.jpg,Dead Space 2,X360,Shooter,Electronic Arts,Visceral Games,9.1,1.52,0.94,,0.44,0.13,25/01/11,
/games/boxart/1042782ccc.jpg,The Simpsons Skateboarding,PS2,Sports,Electronic Arts,The Code Monkeys,,1.52,0.36,,0.9,0.27,11/11/02,
/games/boxart/full_9198595AmericaFrontccc.jpg,NBA Live 2000,PS,Sports,EA Sports,NuFX,,1.52,1.43,,0.05,0.03,31/10/99,
/games/boxart/2687535ccc.jpg,The Simpsons Game,PS2,Platform,Electronic Arts,EA Redwood Shores,,1.51,0.35,,0.03,1.13,30/10/07,
/games/boxart/8847209ccc.jpg,The Simpsons Game,DS,Platform,Electronic Arts,Griptonite Games,,1.51,0.56,,0.78,0.17,30/10/07,
/games/boxart/9911169ccc.jpg,Call of Duty 3,PS3,Shooter,Activision,Treyarch,7.7,1.51,0.6,0.03,0.63,0.26,15/11/06,
/games/boxart/full_3116282AmericaFrontccc.jpg,Call of Duty: Modern Warfare: Reflex Edition,Wii,Shooter,Activision,Treyarch,7.2,1.51,0.94,,0.43,0.14,10/11/09,
/games/boxart/full_3229235AmericaFrontccc.jpg,Madden NFL 19,XOne,Sports,EA Sports,EA Tiburon,,1.51,1.33,,0.02,0.16,10/08/18,27/02/18
/games/boxart/full_star-wars-the-force-unleashed-ii_2AmericaFront.jpg,Star Wars: The Force Unleashed II,PS3,Action,LucasArts,LucasArts,6.3,1.51,0.8,,0.5,0.21,26/10/10,
/games/boxart/4178953ccc.jpg,Pac-Man World 2,PS2,Action,Namco,Namco,,1.51,1.26,,0.05,0.21,24/02/02,
